PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,DEVICE DISPLAY WIDTH,DEVICE DISPLAY HEIGHT,DEVICE DISPLAY RESOLUTION,OS,OS VERSION,OS MAKER,BROWSER,BROWSER VERSION,APPLICATION,APPLICATION VERSION,LANGUAGE CODE,COUNTRY CODE,UNKNOWN PROPERTIES
15691,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; da-DK) iPadTimesAnvil/2.7",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,Unknown,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,13
15686,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; en-SG) Times/1.3.2",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,5_IPHONE,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,12
15651,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-SG) Sunday Times/2.1.1",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,5_IPHONE,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,12
15559,"Mozilla/5.0 (Linux; U; Android 4.0.3; en-gb; GT-P3110 Build/IML74K) Times/1.3.0",Smartphone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ANDROID,4,Google Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,11
15531,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; it-IT) Sunday Times/223",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,5_IPHONE,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,12
15503,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2",Computer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,WINDOWS,7,Microsoft Corporation,Safari,5.1.7,Unknown,Unknown,Unknown,Unknown,10
15468,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-MT) Sunday Times/223",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,5_IPHONE,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,12
15444,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7",Computer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MAC_OS,X,Apple Inc.,Safari,5.1.2,Unknown,Unknown,Unknown,Unknown,10
15366,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; da-DK) Sunday Times/223",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,5_IPHONE,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,12
15267,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_0 like Mac OS X; en-GB) Times/1.2.1",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,4_IPHONE,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,12
15236,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; de-DE) iPadTimesAnvil/2.7",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,Unknown,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,13
15181,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; nb-NO) Sunday Times/223",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,Unknown,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,13
15170,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_5 like Mac OS X; en-ZA) iPadTimes/2.4",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,4_IPHONE,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,12
15160,"Mozilla/5.0 (Linux; U; Android 4.1.1; en-us; Galaxy Nexus Build/JRO03C) Times/1.3.0",Smartphone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ANDROID,4,Google Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,11
